ID;v0.12 ;v0.13 ;v0.13.outro;v0.14 ;v0.15;v0.16 ;v0.17;v0.18 ;v2;v3;v4.1;v4.2;v5;v6.1;v6.2;v6.3;v6.4;v6.5;v6.6;v6.7;v6.8;v6.other;v7;v8;v9;v10;v11;v11.1;v11.2;v12;v13.1;v13.2;v14;v15;v16;v17;v18;v19;v20;v21;v21.quais;v22;v23;v24;v24.outro;v25;v25.1;v26;v27.1;v27.2;v27.3;v27.4;v27.5;v27.6;v27.7;v28.1;v28.2;v28.3;v28.4;v28.5;v29;v30;v31;v31.outro;v32;v32.1.1;v32.1.2;v32.1.3;v32.1.4;v32.1.5;v32.1.6;v32.1.7;v32.1.outro;v33;v33.outro;v34;v34.outro;v35;v36;v36.outro;v37;v38.1.1;v38.1.2;v38.1.3;v38.2.1;v38.2.2;v38.2.3;v38.3.1;v38.3.2;v38.3.3;v38.4.1;v38.4.2;v38.4.3;v38.5.1;v38.5.2;v38.5.3;v38.6.1;v38.6.2;v38.6.3;v39;v39.outro;v40;v41;v42;v43;v44;v45.1.1;v45.1.2;v45.2.1;v45.2.2;v45.3.1;v45.3.2;v45.4.1;v45.4.2;v46.1;v46.2;v46.3;v46.4;v46.5;v46.6;v46.7;v46.8;v46.9;v46.outra;v47;v47.1;v48.1;v48.2;v48.3;v48.4;v48.5;v48.outra;v49;v50;v51.1;v51.2;v51.3;v51.4;v52.1;v52.2;v52.3;v52.4;v53;v54;v55;v56.1;v56.2;v56.3;v56.4;v56.outro;v57;v57.1
92;2;1;;1;09:00;;09:44;10:07;09/08/2001;1;rio de janeiro;santa cruz;120;1;1;2;2;2;2;2;2;;30;4;5;;5;1;1;2;0;9;1;2;2;;"bar;chaveiro";1;2;2;;1;1;1;;1;;1;07:30;19:00;5;100;0;;;07:00;18:00;4;50;0;7;2;2;;2;;;;;;;;;2;;4;;4;6;;1;6;190;20;0;0;0;10;4.16;4;6;4;5;8;2.5;5;5;1;;1;;1;1;1;2;1;1000;600;1000;600;600;400;;;2;2;1;2;2;1;1;2;2;falta de um deposito;1;4;2;2;1;1;2;;1;1;5;;;5;3;3;2;4;4;2;1;2;2;2;2;;1;1
93;1;;;;09:08;09:36;;;10/03/1948;1;rio de janeiro;sao joao;120;1;2;2;2;2;2;2;2;;0.00;0;3;;1;0;1;1;45;0;1;1;1;bico;roca;2;2;1;todas;2;1;1;;1;;1;07:00;20:00;1;60;0;;;07:00;20:00;1;60;0;7;1;"1;2";;2;;;;;;;;;3;;4;;4;;;1;3;40;25;;;;7;4;24;3;3.16;12;5;3,8;10;3;1;5;4;;1;1;2;1;1;;;;;;;;;2;2;1;2;2;2;2;2;2;;1;10;;;;;;;1;1;;;;;3;5;2;5;4;2;1;1;2;2;2;falta do titular;1;1
94;2;2;;1;09:00;09:05;09:50;10:20;;1;santa cruz ;;180;1;2;2;2;2;2;2;2;;50;4;2;5;5;1;1;2;2;;1;2;2;;;2;2;2;;1;1;1;;1;;1;05:30;;10;;0;10;;06:00;;5;;0;7;"1;2;3";1,2,3;;2;2;2;2;2;2;2;2;;2;;0;Subterraneo;5;1;;2;7.5;180;;;;;11;5;;7;3.3;;8;3;;5;0,6;;2;;2;1;1;2;1;;;;;;;;;1;2;2;2;2;2;2;2;2;;2;;2;1;2;2;2;;1;4;2;1;1;5;5;5;3;3;5;2;1;2;2;2;2;;2;
95;2;0;Barraca n∆o esatava montada;2;10:21;10:21;11:12;11:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2;0;Barraca n∆o esatava montada;2;10:22;10:22;11:13;11:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2;0;Barraca n∆o estava montada;;10:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2;2;;2;09:17;09:20;10:09;10:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
